optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use namespace using-directives.  Use using-declarations instead.  [build/namespaces] [5]
optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use using  [readability/namespace] [4]
optce-sefm2017/src/Runalgorithm.cpp:486:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:489:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:491:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:493:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:500:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:504:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:507:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:508:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:509:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:522:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:543:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:545:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:547:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:548:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:552:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:553:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:562:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
