optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use namespace using-directives.  Use using-declarations instead.  [build/namespaces] [5]
optce-sefm2017/src/Runalgorithm.cpp:823:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:824:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:824:  Remove space before ( in for (  [whitespace/parens] [5]
optce-sefm2017/src/Runalgorithm.cpp:826:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:827:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:828:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:829:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:834:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:835:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:836:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:838:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:839:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:840:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:842:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:843:  Else should be on a new line after closing brace  [readability/braces] [5]
optce-sefm2017/src/Runalgorithm.cpp:845:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:846:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:848:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:850:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:852:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:854:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:856:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:868:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:871:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:874:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:875:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:876:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:889:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:910:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:912:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:913:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:917:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:918:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:926:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:927:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:931:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:932:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:934:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:937:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:937:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:942:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:946:  Else should be on a new line after closing brace  [readability/braces] [5]
optce-sefm2017/src/Runalgorithm.cpp:948:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:949:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:949:  Remove space before ( in for (  [whitespace/parens] [5]
optce-sefm2017/src/Runalgorithm.cpp:951:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:952:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:953:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:959:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:960:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:961:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:962:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:965:  Else should be on a new line after closing brace  [readability/braces] [5]
optce-sefm2017/src/Runalgorithm.cpp:967:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:968:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:970:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:972:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:974:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:977:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:978:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:980:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:982:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:992:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1000:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1003:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:1004:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1005:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:1018:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:1035:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:1037:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1038:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1042:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1043:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:1051:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:1052:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
